Date,Year,Approve,Disapprove,No Opinion,True Approval
2018 Dec 3-12,2018,18,75,7,19.355
2018 Nov 1-11,2018,21,74,5,22.105
2018 Oct 15-28,2018,21,74,6,22.105
2018 Oct 1-10,2018,21,73,6,22.340
2018 Sep 4-12,2018,19,76,5,20.000
2018 Aug 1-12,2018,17,78,5,17.895
2018 Jul 1-11,2018,17,77,6,18.085
2018 Jun 1-13,2018,19,76,4,20.000
2018 May 1-10,2018,17,79,4,17.708
2018 Apr 2-11,2018,18,78,4,18.750
2018 Mar 1-8,2018,15,79,6,15.957
2018 Feb 1-10,2018,15,81,4,15.625
2018 Jan 2-7,2018,20,75,5,21.053
2017 Dec 4-11,2017,17,78,5,17.895
2017 Nov 2-8,2017,13,81,6,13.830
2017 Oct 5-11,2017,13,80,7,13.978
2017 Sep 6-10,2017,16,80,5,16.667
2017 Aug 2-6,2017,16,79,6,16.842
2017 Jul 5-9,2017,20,74,7,21.277
2017 Jun 7-11,2017,21,72,7,22.581
2017 May 3-7,2017,20,74,6,21.277
2017 Apr 5-9,2017,20,74,6,21.277
2017 Mar 1-5,2017,24,67,9,26.374
2017 Feb 1-5,2017,28,67,5,29.474
2017 Jan 4-8,2017,19,76,5,20.000
2016 Dec 7-11,2016,18,78,4,18.750
2016 Nov 9-13,2016,19,74,7,20.430
2016 Oct 5-9,2016,18,79,3,18.557
2016 Sep 7-11,2016,20,76,5,20.833
2016 Aug 3-7,2016,18,78,4,18.750
2016 Jul 13-17,2016,13,83,4,13.542
2016 Jun 1-5,2016,16,80,4,16.667
2016 May 4-8,2016,18,78,4,18.750
2016 Apr 6-10,2016,17,79,4,17.708
2016 Mar 2-6,2016,13,84,3,13.402
2016 Feb 3-7,2016,14,81,4,14.737
2016 Jan 6-10,2016,16,80,4,16.667
2015 Dec 2-6,2015,13,82,5,13.684
2015 Nov 4-8,2015,11,86,3,11.340
2015 Oct 7-11,2015,13,82,4,13.684
2015 Sep 9-13,2015,14,83,2,14.433
2015 Aug 5-9,2015,14,82,5,14.583
2015 Jul 8-12,2015,17,78,5,17.895
2015 Jun 2-7,2015,17,79,4,17.708
2015 May 6-10,2015,19,77,5,19.792
2015 Apr 9-12,2015,15,80,5,15.789
2015 Mar 5-8,2015,18,75,7,19.355
2015 Feb 8-11,2015,20,75,5,21.053
2015 Jan 5-8,2015,16,76,8,17.391
2014 Dec 8-11,2014,16,80,4,16.667
2014 Nov 6-9,2014,15,79,6,15.957
2014 Oct 29-Nov 2,2014,20,75,5,21.053
2014 Oct 12-15,2014,14,82,4,14.583
2014 Sep 4-7,2014,14,82,4,14.583
2014 Aug 7-10,2014,13,83,4,13.542
2014 Jul 7-10,2014,15,80,5,15.789
2014 Jun 5-8,2014,16,81,3,16.495
2014 May 8-11,2014,15,80,6,15.789
2014 Apr 3-6,2014,13,83,3,13.542
2014 Mar 6-9,2014,15,83,2,15.306
2014 Feb 6-9,2014,12,83,6,12.632
2014 Jan 5-8,2014,13,82,5,13.684
2013 Dec 5-8,2013,12,85,3,12.371
2013 Nov 7-10,2013,9,86,5,9.474
2013 Oct 3-6,2013,11,85,4,11.458
2013 Sep 5-8,2013,19,76,5,20.000
2013 Aug 7-11,2013,14,81,5,14.737
2013 Jul 10-14,2013,15,78,7,16.129
2013 Jun 1-4,2013,17,78,5,17.895
2013 May 2-7,2013,16,79,5,16.842
2013 Apr 4-7,2013,15,79,6,15.957
2013 Mar 7-10,2013,13,83,4,13.542
2013 Feb 7-10,2013,15,81,4,15.625
2013 Jan 7-10,2013,14,81,6,14.737
2012 Dec 14-17,2012,18,76,5,19.149
2012 Nov 15-18,2012,18,75,7,19.355
2012 Oct 15-16,2012,21,69,11,23.333
2012 Sep 6-9,2012,13,83,4,13.542
2012 Aug 9-12,2012,10,83,7,10.753
2012 Jul 9-12,2012,16,78,7,17.021
2012 Jun 7-10,2012,17,79,4,17.708
2012 May 3-6,2012,15,79,6,15.957
2012 Apr 9-12,2012,17,79,4,17.708
2012 Mar 8-11,2012,12,82,6,12.766
2012 Feb 2-5,2012,10,86,4,10.417
2012 Jan 5-8,2012,13,81,6,13.830
2011 Dec 15-18,2011,11,86,3,11.340
2011 Nov 3-6,2011,13,82,5,13.684
2011 Oct 6-9,2011,13,81,6,13.830
2011 Sep 8-11,2011,15,82,3,15.464
2011 Aug 11-14,2011,13,84,4,13.402
2011 Jul 7-10,2011,18,77,5,18.947
2011 Jun 9-12,2011,17,76,7,18.280
2011 May 5-8,2011,24,70,7,25.532
2011 Apr 7-11,2011,17,77,6,18.085
2011 Mar 3-6,2011,18,74,7,19.565
2011 Feb 2-5,2011,23,71,5,24.468
2011 Jan 7-9,2011,20,73,7,21.505
2010 Dec 10-12,2010,13,83,4,13.542
2010 Nov 4-7,2010,17,77,6,18.085
2010 Oct 28-31,2010,21,73,6,22.340
2010 Oct 7-10,2010,21,73,6,22.340
2010 Sep 13-16,2010,18,77,5,18.947
2010 Aug 5-8,2010,19,75,6,20.213
2010 Jul 8-11,2010,20,73,7,21.505
2010 Jun 11-13,2010,20,74,6,21.277
2010 May 3-6,2010,21,73,6,22.340
2010 Apr 8-11,2010,23,72,6,24.211
2010 Mar 4-7,2010,16,80,4,16.667
2010 Feb 1-3,2010,18,78,4,18.750
2010 Jan 8-10,2010,24,71,5,25.263
2009 Dec 11-13,2009,25,69,5,26.596
2009 Nov 5-8,2009,26,68,6,27.660
2009 Oct 1-4,2009,21,72,7,22.581
2009 Aug 31-Sep 2,2009,31,63,6,32.979
2009 Aug 6-9,2009,31,62,6,33.333
2009 July 10-12,2009,32,54,14,37.209
2009 June 14-17,2009,33,61,6,35.106
2009 May 7-10,2009,37,57,7,39.362
2009 Apr 6-9,2009,36,55,9,39.560
2009 Mar 5-8,2009,39,54,7,41.935
2009 Feb 9-12,2009,31,61,9,33.696
2009 Jan 9-11,2009,19,76,5,20.000
2008 Dec 4-7,2008,20,74,6,21.277
2008 Nov 13-16,2008,19,74,7,20.430
2008 Oct 3-5,2008,18,77,5,18.947
2008 Sep 8-11,2008,18,77,6,18.947
2008 Aug 7-10,2008,18,73,9,19.780
2008 Jul 10-13,2008,14,75,10,15.730
2008 Jun 9-12,2008,19,74,7,20.430
2008 May 8-11,2008,18,76,6,19.149
2008 Apr 6-9,2008,20,71,9,21.978
2008 Mar 6-9,2008,21,71,8,22.826
2008 Feb 11-14,2008,24,70,6,25.532
2008 Jan 4-6,2008,23,71,6,24.468
2007 Dec 6-9,2007,22,70,8,23.913
2007 Nov 11-14,2007,20,69,11,22.472
2007 Oct 12-14,2007,29,64,6,31.183
2007 Oct 4-7,2007,23,71,6,24.468
2007 Sep 14-16,2007,24,71,5,25.263
2007 Aug 13-16,2007,18,76,6,19.149
2007 Jul 12-15,2007,27,66,7,29.032
2007 Jun 11-14,2007,24,71,5,25.263
2007 May 10-13,2007,29,64,7,31.183
2007 Apr 2-5,2007,33,60,7,35.484
2007 Mar 11-14,2007,28,64,8,30.435
2007 Feb 1-4,2007,37,55,8,40.217
2007 Jan 15-18,2007,35,56,9,38.462
2006 Dec 11-14,2006,21,74,5,22.105
2006 Nov 9-12,2006,26,67,7,27.957
2006 Nov 2-5,2006,26,63,11,29.213
2006 Oct 20-22,2006,26,67,6,27.957
2006 Oct 9-12,2006,23,71,6,24.468
2006 Oct 6-8,2006,24,68,7,26.087
2006 Sep 7-10,2006,29,63,8,31.522
2006 Aug 7-10,2006,27,65,8,29.348
2006 Jul 6-9,2006,29,61,10,32.222
2006 Jun 1-4,2006,27,63,10,30.000
2006 May 8-11,2006,21,71,8,22.826
2006 Apr 10-13,2006,23,70,7,24.731
2006 Mar 13-16,2006,27,65,8,29.348
2006 Feb 6-9,2006,25,65,10,27.778
2006 Jan 9-12,2006,27,67,7,28.723
2005 Dec 5-8,2005,29,63,8,31.522
2005 Nov 7-10,2005,29,63,8,31.522
2005 Oct 13-16,2005,29,64,7,31.183
2005 Sep 12-15,2005,35,59,6,37.234
2005 Aug 8-11,2005,36,58,6,38.298
2005 Jul 7-10,2005,36,58,6,38.298
2005 Jun 6-8,2005,34,59,7,36.559
2005 May 2-5,2005,35,57,8,38.043
2005 Apr 4-7,2005,38,54,8,41.304
2005 Mar 7-10,2005,37,53,10,41.111
2005 Feb 7-10,2005,45,48,7,48.387
2005 Jan 3-5,2005,43,48,9,47.253
2004 Dec 5-8,2004,41,50,9,45.055
2004 Nov 7-10,2004,41,52,7,44.086
2004 Oct 11-14,2004,40,51,9,43.956
2004 Sep 13-15,2004,41,52,7,44.086
2004 Aug 9-11,2004,40,52,8,43.478
2004 Jul 8-11,2004,40,53,7,43.011
2004 Jun 3-6,2004,41,52,7,44.086
2004 May 2-4,2004,41,52,7,44.086
2004 Apr 5-8,2004,43,51,6,45.745
2004 Mar 8-11,2004,42,51,7,45.161
2004 Feb 9-12,2004,41,51,8,44.565
2004 Jan 12-15,2004,48,45,7,51.613
2005 Dec 5-8,2005,29,63,8,31.522
2005 Nov 7-10,2005,29,63,8,31.522
2005 Oct 13-16,2005,29,64,7,31.183
2005 Sep 12-15,2005,35,59,6,37.234
2005 Aug 8-11,2005,36,58,6,38.298
2005 Jul 7-10,2005,36,58,6,38.298
2005 Jun 6-8,2005,34,59,7,36.559
2005 May 2-5,2005,35,57,8,38.043
2005 Apr 4-7,2005,38,54,8,41.304
2005 Mar 7-10,2005,37,53,10,41.111
2005 Feb 7-10,2005,45,48,7,48.387
2005 Jan 3-5,2005,43,48,9,47.253
2004 Dec 5-8,2004,41,50,9,45.055
2004 Nov 7-10,2004,41,52,7,44.086
2004 Oct 11-14,2004,40,51,9,43.956
2004 Sep 13-15,2004,41,52,7,44.086
2004 Aug 9-11,2004,40,52,8,43.478
2004 Jul 8-11,2004,40,53,7,43.011
2004 Jun 3-6,2004,41,52,7,44.086
2004 May 2-4,2004,41,52,7,44.086
2004 Apr 5-8,2004,43,51,6,45.745
2004 Mar 8-11,2004,42,51,7,45.161
2004 Feb 9-12,2004,41,51,8,44.565
2004 Jan 12-15,2004,48,45,7,51.613
2003 Dec 11-14,2003,43,50,7,46.237
2003 Nov 3-5,2003,43,51,6,45.745
2003 Oct 6-8,2003,41,51,8,44.565
2003 Sep 8-10,2003,40,53,7,43.011
2003 Aug 4-6,2003,45,46,9,49.451
2003 Jul 7-9,2003,49,45,6,52.128
2003 Jun 12-15,2003,50,41,9,54.945
2003 May 5-7,2003,49,44,7,52.688
2003 Apr 7-9,2003,58,33,9,63.736
2003 Mar 3-5,2003,48,44,8,52.174
2003 Feb 3-6,2003,50,39,11,56.180
2003 Jan 13-16,2003,49,40,11,55.056
2002 Dec 5-8,2002,50,40,10,55.556
2002 Nov 11-14,2002,47,39,14,54.651
2002 Oct 3-6,2002,50,40,10,55.556
2002 Sep 5-8,2002,52,40,8,56.522
2002 Aug 5-8,2002,46,43,11,51.685
2002 Jul 26-28,2002,53,36,11,59.551
2002 Jul 9-11,2002,54,36,10,60.000
2002 Jun 3-6,2002,52,38,10,57.778
2002 May 6-9,2002,57,33,10,63.333
2002 Apr 8-11,2002,57,34,9,62.637
2002 Mar 4-7,2002,63,28,9,69.231
2002 Feb 4-6,2002,62,28,10,68.889
2002 Jan 7-9,2002,62,29,9,68.132
2001 Dec 6-9,2001,72,19,9,79.121
2001 Nov 8-11,2001,73,19,8,79.348
2001 Oct 11-14,2001,84,10,6,89.362
2001 Sep 7-10,2001,42,44,14,48.837
2001 Aug 16-19,2001,50,37,13,57.471
2001 Aug 3-5,2001,47,42,11,52.809
2001 Jul 19-22,2001,49,37,14,56.977
2001 Jun 11-17,2001,51,34,15,60.000
2001 May 10-14,2001,49,34,17,59.036
2001 Apr 6-8,2001,55,32,13,63.218
2001 Mar 5-7,2001,55,28,17,66.265
2001 Feb 1-4,2001,53,32,15,62.353
2001 Jan 10-14,2001,50,40,10,55.556
2000 Dec 2-4,2000,56,34,10,62.222
2000 Oct 6-9,2000,49,42,9,53.846
2000 Aug 29-Sep 5,2000,48,42,10,53.333
2000 May 18-21,2000,39,52,9,42.857
2000 Jan 7-10,2000,51,42,7,54.839
1999 Sep 23-26,1999,37,56,7,39.785
1999 Jul 13-14,1999,39,51,10,43.333
1999 Jun 11-13,1999,41,53,6,43.617
1999 Apr 13-14,1999,45,47,8,48.913
1999 Feb 12-13,1999,41,54,5,43.158
1999 Jan 15-17,1999,50,46,4,52.083
1998 Dec 15-16,1998,42,52,6,44.681
1998 Nov 13-15,1998,41,54,5,43.158
1998 Oct 29-Nov 1,1998,44,47,9,48.352
1998 Oct 9-12,1998,47,46,7,50.538
1998 Oct 6-7,1998,44,48,8,47.826
1998 Sep 11-12,1998,55,36,9,60.440
1998 May 8-10,1998,44,48,8,47.826
1998 Apr 17-19,1998,49,40,11,55.056
1998 Feb 13-15,1998,57,33,10,63.333
1998 Jan 30-Feb 1,1998,56,35,9,61.538
1998 Jan 16-18,1998,42,47,11,47.191
1997 Dec 18-21,1997,39,52,9,42.857
1997 Oct 27-29,1997,36,53,11,40.449
1997 Aug 22-25,1997,41,48,11,46.067
1997 Jul 25-27,1997,34,57,9,37.363
1997 May 6-7,1997,32,58,10,35.556
1997 Apr 18-20,1997,30,59,11,33.708
1997 Feb 24-26,1997,37,48,15,43.529
1997 Jan 31-Feb 2,1997,36,51,13,41.379
1997 Jan 10-13,1997,41,49,10,45.556
1996 Oct 26-29,1996,34,51,15,40.000
1996 Aug 5-7,1996,39,49,12,44.318
1996 May 9-12,1996,30,65,5,31.579
1996 Apr 9-10,1996,35,57,8,38.043
1995 Sep 22-24,1995,30,61,9,32.967
1995 Aug 28-30,1995,30,60,10,33.333
1995 Jul 7-9,1995,35,55,10,38.889
1995 May 11-14,1995,34,57,9,37.363
1995 Apr 17-19,1995,37,54,9,40.659
1995 Mar 27-29,1995,31,61,8,33.696
1995 Mar 17-19,1995,32,59,9,35.165
1995 Feb 24-26,1995,35,53,12,39.773
1995 Feb 3-5,1995,38,53,9,41.758
1995 Jan 16-18,1995,33,52,15,38.824
1994 Dec 28-30,1994,23,66,11,25.843
1994 Oct 22-25,1994,23,70,7,24.731
1994 Oct 7-9,1994,21,73,6,22.340
1994 Jul 15-17,1994,27,65,8,29.348
1994 Mar 25-27,1994,29,63,8,31.522
1994 Feb 26-28,1994,28,66,6,29.787
1993 Nov 2-4,1993,24,69,8,25.806
1993 Aug 8-10,1993,23,69,8,25.000
1993 Jul 19-21,1993,24,65,11,26.966
1993 Feb 26-28,1993,27,54,19,33.333
1992 Mar 3 ^,1992,18,78,3,18.750
1991 Oct 10-13,1991,40,54,6,42.553
1991 Jul 25-28,1991,32,53,15,37.647
1990 Nov 2-4,1990,26,63,11,29.213
1990 Oct 25-28,1990,24,68,8,26.087
1990 Oct 18-21,1990,23,64,13,26.437
1990 Oct 11-14,1990,28,65,7,30.108
1988 Sep 9-11,1988,42,42,16,50.000
1987 Aug 24-Sep 2,1987,42,49,9,46.154
1986 Apr 11-14,1986,42,37,21,53.165
1983 Apr 29-May 2,1983,33,43,24,43.421
1982 Jun 11-14,1982,29,54,17,34.940
1981 Jun 19-22,1981,38,40,22,48.718
1980 Jun 13-16,1980,25,56,19,30.864
1979 Jun 1-4,1979,19,61,20,23.750
1978 Sep 8-11,1978,29,49,22,37.179
1977 Sep 9-12,1977,35,44,21,44.304
1977 Aug 5-8,1977,36,44,20,45.000
1977 Jun 3-6,1977,34,42,24,44.737
1977 May 20-23,1977,40,40,20,50.000
1977 Mar 25-28,1977,36,42,22,46.154
1976 Jan 23-26,1976,24,58,18,29.268
1975 Oct 31-Nov 3,1975,28,54,18,34.146
1975 Jun 27-30,1975,29,54,17,34.940
1975 Apr 18-21,1975,38,48,14,44.186
1975 Feb 28-Mar 3,1975,32,50,18,39.024
1974 Oct 11-14,1974,35,43,22,44.872
1974 Aug 16-19,1974,47,34,19,58.025
1974 Apr 12-15,1974,30,47,23,38.961
